Name;Brewery;ID;Type;ABV
Mumbo Jumbo #1;Åben;1;Sour;6
Mumbo Jumbo #2;Åben;2;Sour;6
Mumbo Jumbo #3;Åben;3;Sour;6
Kentucky Breakfast Stout (KBS);Founders Brewing Company ;4;Stout ;12
1664 blanc;Kronenbourg Brewery;5;Wheat beer;5
High School Reunion;Too old to die young ;6;Wheat beer;5
Duchesse de Bourgogne;Brouwerij Verhaeghe;7;Sour;6.2
Kernekraft;Flying Couch Brewing ;8;IPA;6.5
Rays Of Silence;Alefarm Brewing;9;IPA;6
Tuborg Grøn Sunsæt ;Tuborg ;10;Lager;4.6
Tiny Explosion;Amager Bryghus;11;Porter;8
Deranged;Dry & Bitter Brewing Company ;12;IPA;8.5
Spring Clean Sour;To Øl;13;Sour;5.5
Tropical Rumble;To Øl;14;IPA;4.3
Mochaccino Messiah;To Øl;15;Brown Ale;7
Rød Grød med fløde ;To Øl;16;Fruit beer ;6
Hallo ich bin berliner Weisse;Mikkeller;17;Sour;3.7
La Trappe Blond;Bierbrouwerij De Koningshoeven;18;Belgian;6.5
Easy To Find;Overtone Brewing Company;19;Pale Ale;5
4 Luppoli Originale;Birrifico Angelo Poretti;20;Lager;5
Double Juice Punch;Frontaal Brewing Company;21;IPA;8.5
Quiet Song;Duration Brewing;22;Wheat beer;4.3
Bylgja;Ægir Brugghús;23;Sour;4
Bigfoot;Sierra  Nevada Brewing Company;24;Barleywine;9.6
Stone 25th Anniversary Triple IPA;Stone Brewing;25;IPA;12.5
Mirror Me;Dry & Bitter Brewing Company ;26;Porter;10.2
Bar Li'Vin Caribian Rum;Humleland;27;Barleywine;14
Moonshake;FUERST WIACEK;28;IPA;6.8
Evergreen Pretty;Magic Road;29;Sour;5.5
Beer Geek Breakfast;Mikkeller;30;Stout ;7.5
Eitt Sett;Ægir Brugghús;31;Brown Ale;5
Reflections of Matter Noyaux 2020;Baghaven Brewing and Blending;32;Sour;6
Juicy IPA;Jacobsen;33;IPA;5
Lemon Liquorice Sour;CoolHead Brew;34;Sour;5
Alexander;Brouwerij Rodenbach;35;Sour;5.6
Sunset Overdrive;Vocation Brewery;36;Sour;5.5
Peanut Butter Milk Stout;Belching Beaver Brewery;37;Stout ;5.3
Chimay Première (Red);Bières de Chimay;38;Belgian;7
Mc Chouffe ;Brasserie d'Achoffe;39;Belgian;8
Kasteel Donker;Kasteel Brouwerij Vanhonsebrouck;40;Belgian;11
Canadian Breakfast Stout (CBS);Founders Brewing Company ;41;Stout ;11.3
